county,health,smokers,obesity,uninsured,unemployed,income
Adams,20,23,28,15,9.1,34116
Allen,16,21,34,13,5.7,43602
Ashland,16,20,30,14,5.8,47369
Ashtabula,17,22,31,15,7.0,39757
Athens,21,23,29,16,6.8,34216
Auglaize,14,20,34,10,4.3,52650
Belmont,16,21,33,13,6.6,41983
Brown,16,21,37,14,7.2,46484
Butler,16,20,30,12,5.4,58558
Carroll,15,20,35,15,6.0,46177
Champaign,15,20,37,12,5.0,50302
Clark,17,20,30,14,5.6,42029
Clermont,14,19,29,11,5.3,62158
Clinton,16,20,35,13,7.6,49453
Columbiana,16,21,32,15,6.4,42645
Coshocton,17,21,34,16,7.3,41547
Crawford,15,18,32,13,6.5,39881
Cuyahoga,17,18,29,13,6.4,44138
Darke,15,19,31,13,5.2,46610
Defiance,16,19,32,13,5.4,53026
Delaware,10,14,27,7,4.0,97802
Erie,16,20,31,13,6.2,49234
Fairfield,15,18,31,11,5.0,59921
Fayette,18,21,32,14,5.8,44947
Franklin,17,19,29,15,4.8,53164
Fulton,15,18,33,12,5.8,54666
Gallia,19,23,31,14,7.5,36675
Geauga,13,16,28,13,5.1,72264
Greene,15,18,29,11,5.2,59382
Guernsey,18,21,36,14,6.7,41940
Hamilton,16,20,29,13,5.3,48973
Hancock,15,19,30,12,4.4,51498
Hardin,18,21,34,13,5.6,45195
Harrison,17,20,29,14,5.9,42582
Henry,15,19,30,12,6.3,53645
Highland,18,22,34,15,7.6,41611
Hocking,17,21,34,14,6.3,42374
Holmes,17,20,28,24,3.9,50069
Huron,15,18,34,14,7.9,47824
Jackson,19,22,37,14,8.6,41161
Jefferson,18,21,34,13,8.0,40148
Knox,14,20,34,14,5.2,46908
Lake,13,18,26,12,5.6,58697
Lawrence,18,21,39,13,6.5,41608
Licking,14,18,29,12,5.1,57308
Logan,16,20,31,14,4.9,50753
Lorain,15,18,30,12,6.6,52331
Lucas,19,20,32,14,6.3,42344
Madison,15,19,29,12,4.7,52996
Mahoning,17,20,31,13,6.6,41316
Marion,18,22,34,14,5.9,42240
Medina,12,16,29,10,5.2,68405
Meigs,19,23,35,15,9.0,38081
Mercer,13,16,29,12,3.8,52606
Miami,14,19,32,12,5.3,51868
Monroe,16,18,36,14,10.8,40646
Montgomery,19,21,31,14,6.0,42994
Morgan,19,21,33,15,7.8,37923
Morrow,15,20,37,14,5.8,49846
Muskingum,18,22,33,13,7.0,41814
Noble,17,20,33,14,7.6,43953
Ottawa,15,17,31,12,7.4,50345
Paulding,16,19,30,13,5.4,47358
Perry,17,21,36,15,7.2,43341
Pickaway,15,19,36,13,5.6,54868
Pike,20,24,31,14,9.0,40512
Portage,15,20,29,12,5.8,52047
Preble,16,19,32,13,5.6,49516
Putnam,13,17,33,10,4.5,56519
Richland,16,20,33,14,6.4,41948
Ross,18,22,36,13,6.3,42466
Sandusky,18,20,32,13,5.6,46447
Scioto,21,25,36,14,8.7,37625
Seneca,15,19,35,13,5.6,45003
Shelby,14,19,32,11,5.0,50774
Stark,16,19,31,13,5.7,47745
Summit,17,20,29,13,5.8,50453
Trumbull,17,20,33,15,7.0,43160
Tuscarawas,17,18,35,14,5.4,46128
Union,13,18,32,9,4.3,69900
Van Wert,14,19,37,13,4.8,49565
Vinton,20,23,31,15,7.9,37633
Warren,12,16,29,9,4.8,72973
Washington,17,21,33,14,6.2,45048
Wayne,15,19,27,15,4.6,50106
Williams,17,20,34,12,5.4,42214
Wood,16,18,31,11,5.2,54996
Wyandot,13,17,35,12,4.3,47905